world,area,sentences,index
aws_robomaker_small_warehouse_world,entrance area,the bookshelf is built in,1
aws_robomaker_small_warehouse_world,entrance area,many goods are transported at midnight by truck,1
aws_robomaker_small_warehouse_world,entrance area,leave a space between the lines,1
aws_robomaker_small_warehouse_world,entrance area,the goods ordered from England last month have not arrived yet,1
aws_robomaker_small_warehouse_world,entrance area,she put the lid on the box,1
aws_robomaker_small_warehouse_world,picking area,a young man came for the new product,2
aws_robomaker_small_warehouse_world,picking area,we have adequate inventories of the product to meet local demand,2
aws_robomaker_small_warehouse_world,picking area,export of the product will start soon,2
aws_robomaker_small_warehouse_world,picking area,we will ship the product immediately after receiving your order,2
aws_robomaker_small_warehouse_world,picking area,this product brought us a large margin,2
aws_robomaker_small_warehouse_world,picking area,i regret to say that the product you have asked for is currently out of stock,2
aws_robomaker_small_warehouse_world,picking area,we can deliver the product in June,2
aws_robomaker_small_warehouse_world,picking area,"with this price, your product would not be competitive in the Japanese market",2
aws_robomaker_small_warehouse_world,picking area,thank you for sending the product information asked for,2
aws_robomaker_small_warehouse_world,picking area,successfully demonstrated a new product in 7 districts,2
